file_path,entry_name,detected_type,record_type,record_id,status,base_price,estimated_minutes
"/home/dima/Стільниця/Модули/Главная страница.txt","## Концепция Главной Страницы GLF BiKube",service,service_type,,skipped_exists,,
"/home/dima/Стільниця/Модули/Главная страница.txt","### 1. Верхняя Часть Страницы",service,service_type,74,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Динамический Видео",service,service_type,75,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt",Фокус,service,service_type,76,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Содержание каждого слайда",service,service_type,77,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt",Видео,service,service_type,78,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Крупный, мотивирующий Заголовок",service,service_type,79,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Краткое описание",service,service_type,80,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Призыв к Действию (CTA)",service,service_type,81,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Управление через CMS",service,service_type,82,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Навигационная Панель (Хедер)",service,service_type,83,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Фирменный логотип GLF BiKube.",service,service_type,84,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Кнопка ""Все Услуги"" (с выпадающим меню или ссылкой на раздел ниже).",service,service_type,85,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Ссылки на ключевые разделы",service,service_type,86,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Кнопки ""Войти"" / ""Регистрация"".",service,service_type,87,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Иконка корзины (для модуля доставки или покупок).",service,service_type,88,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","""Быстрый Заказ"" (Fast Order)",service,service_type,89,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","### 2. Средняя Часть Страницы",service,service_type,90,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Инновационный Блок с 7 Карточками Услуг (3D",service,service_type,91,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt",Концепция,service,service_type,92,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt",Визуализация,service,service_type,93,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt",Фон,service,service_type,94,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","7 Карточек Услуг",service,service_type,95,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Эффект Параллакса",service,service_type,96,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Анимации при наведении",service,service_type,97,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Содержание каждой карточки",service,service_type,98,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Крупная иконка/3D",service,service_type,99,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Название модуля",service,service_type,100,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Краткое, емкое описание",service,service_type,101,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Кнопка ""Узнать больше"" / ""Заказать""",service,service_type,102,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Техническая реализация",service,service_type,103,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","### 3. Нижняя Часть Страницы",service,service_type,104,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Блок ""Почему выбирают GLF BiKube?""",service,service_type,105,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Выделение ключевых преимуществ платформы (прозрачность, надежность, профессионализм, экологичность, забота, интеграция).",service,service_type,106,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Использование инфографики или коротких, ярких тезисов.",service,service_type,107,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Блок ""Как это работает"" (визуальный гайд)",service,service_type,108,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Простая пошаговая инструкция (3",service,service_type,109,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Блок ""Отзывы клиентов""",service,service_type,110,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Карусель с реальными отзывами клиентов, демонстрирующая высокий NPS.",product,product,11,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Блок ""Новости и Блог""",service,service_type,111,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Последние статьи, новости компании, советы по дому, экологии, авто.",service,service_type,112,created,,
"/home/dima/Стільниця/Модули/Главная страница.txt","Блок ""Станьте Исполнителем / Партнером""",service,service_type,113,created,,
